id,title,provider,resource_type,primary_status_code,official_url,verified_on
european-society-of-human-genetics-eshg-unleashing-the-power-of-large-scale-geno,Unleashing the Power of Large-Scale Genomic Public Databases,European Society of Human Genetics (ESHG),workshop,past-event,https://www.eshg.org/courses-archive,2026-08-24
eurordis-open-academy-creating-great-mobile-video,Creating Great Mobile Video,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/creating-great-mobile-video/,2026-08-24
eurordis-open-academy-erdera-open-academy-erdera-training-on-data-ethics-and-ai,"Open Academy × ERDERA Training on Data, Ethics and AI",EURORDIS Open Academy / ERDERA,programme,upcoming-event,https://openacademy.eurordis.org/navigating-rare-disease-research-data-ethics/,2026-08-24
eurordis-open-academy-establishing-an-international-cooperation,Establishing an International Cooperation,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/establishing-an-international-cooperation/,2026-08-24
eurordis-open-academy-genetic-research-to-clinical-diagnosis-of-rare-diseases,Genetic Research to Clinical Diagnosis of Rare Diseases,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/genetic-research-to-clinical-diagnosis-of-rare-diseases/,2026-08-24
eurordis-open-academy-international-advocacy-for-rare-diseases,International Advocacy for Rare Diseases,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/international-advocacy-for-rare-diseases/,2026-08-24
eurordis-open-academy-introduction-to-genetics-and-genomics,Introduction to Genetics and Genomics,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/introduction-to-genetics-and-genomics/,2026-08-24
eurordis-open-academy-introduction-to-the-european-and-international-research-la,Introduction to the European and International Research Landscape,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/introduction-to-the-european-and-international-research-landscape/,2026-08-24
eurordis-open-academy-market-access-and-health-technology-assessment-hta,Market Access and Health Technology Assessment (HTA),EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/market-access-and-hta/,2026-08-24
eurordis-open-academy-pre-training-scientific-innovation-and-translational-resea,Pre-training: Scientific Innovation and Translational Research,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/pre-training-scientific-innovation-and-translational-research/,2026-08-24
eurordis-open-academy-rare-disease-registries-eurordis-mentoring-resources,Rare Disease Registries — EURORDIS mentoring resources,EURORDIS Open Academy,other,date-status-unknown,https://openacademy.eurordis.org/courses/mentoring-programme-resources-group-5-rare-disease-registries/,2026-08-24
eurordis-open-academy-setting-the-landscape,Setting the Landscape,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/setting-the-landscape/,2026-08-24
eurordis-open-academy-sharing-patient-data,Sharing Patient Data,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/sharing-patient-data/,2026-08-24
eurordis-open-academy-survey-design-for-rare-disease-patient-organisations,Survey Design for Rare Disease Patient Organisations,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/survey-design-rare-disease-patient-organisations/,2026-08-24
eurordis-open-academy-trials-home-decentralised-clinical-trials,Trials@Home: Decentralised Clinical Trials,EURORDIS Open Academy,course,date-status-unknown,https://openacademy.eurordis.org/courses/the-trialshome-course-on-decentralised-clinical-trials/,2026-08-24
eurordis-rare-diseases-europe-eurordis-open-academy-all-online-courses,EURORDIS Open Academy — all online courses,EURORDIS Rare Diseases Europe,other,date-status-unknown,https://openacademy.eurordis.org/all-courses/,2026-08-24
eurordis-rare-diseases-europe-eurordis-open-academy-schools,EURORDIS Open Academy Schools,EURORDIS Rare Diseases Europe,programme,next-date-tba,https://openacademy.eurordis.org/open-academy-schools/,2026-08-24
foundation-for-rare-diseases-futurelearn-from-dna-to-cure-gene-and-gene-modified,From DNA to Cure: Gene and Gene-Modified Cell Therapies for Rare Diseases,Foundation for Rare Diseases / FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/from-dna-to-cure-gene-and-gene-modified-cell-therapies-for-rare-diseases,2026-08-24
gen-equip-primary-care-genetics-education-gen-equip-genetics-education-tutorials,Gen-Equip genetics education tutorials,Gen-Equip / primary-care genetics education,other,date-status-unknown,https://www.primarycaregenetics.org/?page_id=109&lang=en,2026-08-24
georgian-society-of-medical-genetics-and-epigenetics-eshg-course-programme-trans,Translational Epigenetics in Precision Medicine,Georgian Society of Medical Genetics and Epigenetics / ESHG course programme,course,upcoming-event,https://geneticsgeorgia.org/language/en/epigenetics-course/,2026-08-24
institut-pasteur-fun-mooc-listed-by-bbmri-eric-biobanking-mooc,Biobanking MOOC,Institut Pasteur / FUN-MOOC (listed by BBMRI-ERIC),course,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24
international-society-for-biological-and-environmental-repositories-isber-isber-biobanking-101-201-workshops,ISBER Biobanking 101/201 Workshops,International Society for Biological and Environmental Repositories (ISBER),workshop,date-status-unknown,https://www.isber.org/page/Biobanking101201,2026-08-24
isber-ascp-board-of-certification-qualification-in-biorepository-science-qbrs,Qualification in Biorepository Science (QBRS),ISBER / ASCP Board of Certification,other,date-status-unknown,https://www.isber.org/page/qualification,2026-08-24
isber-canadian-tissue-repository-network-essentials-of-biobanking-course,Essentials of Biobanking Course,ISBER / Canadian Tissue Repository Network,course,date-status-unknown,https://www.isber.org/page/EssentialsBiobanking,2026-08-24
leena-peltonen-school-of-human-genetics-listed-by-eshg-leena-peltonen-school-of-,Leena Peltonen School of Human Genetics,Leena Peltonen School of Human Genetics (listed by ESHG),programme,past-event,https://lpshg.com/,2026-08-24
manchester-centre-for-genomic-medicine-eshg-3rd-eshg-training-course-on-pharmaco,3rd ESHG Training Course on Pharmacogenomics,Manchester Centre for Genomic Medicine / ESHG,course,upcoming-event,https://www.mrcc.org.uk/events/eshg-pharmacogenetics-course-2026-in-person-manchester-uk/,2026-08-24
manchester-centre-for-genomic-medicine-eshg-eshg-syndromology-and-dysmorphology-,ESHG Syndromology and Dysmorphology Course,Manchester Centre for Genomic Medicine / ESHG,course,upcoming-event,https://www.mrcc.org.uk/events/manchester-eshg-syndromology-and-dysmorphology-course-2026/,2026-08-24
medics-for-rare-disease-m4rd-clinical-trials-and-early-access-programmes,Clinical Trials and Early Access Programmes,Medics for Rare Disease (M4RD),course,date-status-unknown,https://learn.m4rd.org/,2026-08-24
medics-for-rare-disease-m4rd-rare-disease-101-nursing,Rare Disease 101 — Nursing,Medics for Rare Disease (M4RD),course,date-status-unknown,https://learn.m4rd.org/,2026-08-24
medics-for-rare-disease-m4rd-rare-disease-101,Rare Disease 101,Medics for Rare Disease (M4RD),course,date-status-unknown,https://learn.m4rd.org/,2026-08-24
medics-for-rare-disease-rareminds-mental-health-and-rare-disease,Mental Health and Rare Disease,Medics for Rare Disease / Rareminds,course,date-status-unknown,https://learn.m4rd.org/,2026-08-24
medics-for-rare-disease-rarest-rare-disease-101-australia,Rare Disease 101 — Australia,Medics for Rare Disease / RArEST,course,date-status-unknown,https://learn.m4rd.org/mod/page/view.php?id=440,2026-08-24
national-organization-for-rare-disorders-nord-an-introduction-to-rare-diseases,An Introduction to Rare Diseases,National Organization for Rare Disorders (NORD),course,date-status-unknown,https://learn.rarediseases.org/courses/intro-rare-diseases/,2026-08-24
national-organization-for-rare-disorders-nord-rarelaunch,RareLaunch®,National Organization for Rare Disorders (NORD),course,date-status-unknown,https://rarediseases.org/working-together/rarelaunch/,2026-08-24
nhs-england-genomics-education-programme-nhs-rare-disease-education-hub,NHS Rare Disease Education Hub,NHS England Genomics Education Programme,other,date-status-unknown,https://www.genomicseducation.hee.nhs.uk/rare-disease-education-hub/,2026-08-24
nhs-england-genomics-education-programme-uwe-bristol-genomics-and-counselling-skills,Genomics and Counselling Skills,NHS England Genomics Education Programme / UWE Bristol,course,upcoming-event,https://www.genomicseducation.hee.nhs.uk/education/taught-courses/genomics-and-counselling-skills/,2026-08-24
nord-fda-cder-critical-path-institute-rare-disease-drug-development-what-patients-and-advocates-need-to-know,Rare Disease Drug Development: What Patients and Advocates Need to Know,NORD / FDA CDER / Critical Path Institute,course,date-status-unknown,https://learn.rarediseases.org/,2026-08-24
orphanet-orphanet-tutorials,Orphanet Tutorials,Orphanet,other,date-status-unknown,https://www.orpha.net/en/other-information/orphanet-tutorial,2026-08-24
provider-linked-from-ebmg-erclg-examples-page-virtual-prenatal-genetics-short-co,Virtual Prenatal Genetics Short Course 2025,Provider linked from EBMG ErCLG examples page,other,date-status-unknown,https://www.ebmg.eu/669.0.html,2026-08-24
rd-connect-rd-connect-training-and-previous-events-archive,RD-Connect training and previous events archive,RD-Connect,other,date-status-unknown,https://rd-connect.eu/previous-events/,2026-08-24
remedi4all-2026-remedi4all-hackathon,2026 REMEDi4ALL Hackathon,REMEDi4ALL,workshop,upcoming-event,https://remedi4all.org/event/2026-remedi4all-hackathon/,2026-08-24
st-georges-university-of-london-futurelearn-the-genomics-era-the-future-of-genet,The Genomics Era: the Future of Genetics in Medicine,"St George’s, University of London / FutureLearn",course,past-event,https://www.futurelearn.com/courses/the-genomics-era,2026-08-24
synthema-ern-eurobloodnet-synthema-and-ern-eurobloodnet-educational-programme-on-artificial-intelligence,SYNTHEMA & ERN-EuroBloodNet Educational Programme on Artificial Intelligence in Hematology,SYNTHEMA / ERN-EuroBloodNet,other,date-status-unknown,https://eurobloodnet.eu/news/719/new-educational-program-on-artificial-intelligence-and-its-applications-in-hematology,2026-08-24
ucsc-genome-browser-ucsc-genome-browser-training,UCSC Genome Browser training,UCSC Genome Browser,other,date-status-unknown,https://genome.ucsc.edu/training/,2026-08-24
uems-section-of-medical-genetics-ebmg-eshg-european-certificate-in-medical-genet,European Certificate in Medical Genetics and Genomics (ECMGG),UEMS Section of Medical Genetics / EBMG / ESHG,other,past-event,https://www.uems-ecmgg.org/Home.html,2026-08-24
university-of-exeter-futurelearn-genomic-medicine-and-research-a-community-appro,Genomic Medicine and Research: A Community Approach,University of Exeter / FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/community-genetics,2026-08-24
university-of-glasgow-futurelearn-genomic-medicine-harnessing-the-power-of-the-h,Genomic Medicine: Harnessing the Power of the Human Genome,University of Glasgow / FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/harnessing-the-power-of-genomics-in-medicine,2026-08-24
university-of-leeds-futurelearn-understanding-genetic-disorders-how-dna-influenc,Understanding Genetic Disorders: How DNA Influences Health,University of Glasgow / FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/genes-and-health-how-dna-influences-disease,2026-08-24
vascern-vascern-summer-school-recurring-programme,VASCERN Summer School — recurring programme,VASCERN,programme,next-date-tba,https://vascern.eu/training-and-education/,2026-08-24
vascern-vascern-webinars,VASCERN Webinars,VASCERN,other,date-status-unknown,https://vascern.eu/training-and-education/webinars/,2026-08-24
wellcome-connecting-science-futurelearn-bioinformatics-for-biologists-an-introduction-to-linux-bash-scripting-and-r,"Bioinformatics for Biologists: An Introduction to Linux, Bash Scripting, and R",Wellcome Connecting Science / FutureLearn,course,date-status-unknown,https://coursesandconferences.wellcomeconnectingscience.org/our-events/online-courses/,2026-08-24
wellcome-connecting-science-futurelearn-bioinformatics-for-biologists-analysing-and-interpreting-genomics-datasets,Bioinformatics for Biologists: Analysing and Interpreting Genomics Datasets,Wellcome Connecting Science / FutureLearn,course,date-status-unknown,https://coursesandconferences.wellcomeconnectingscience.org/event/bioinformatics-for-biologists-analysing-and-interpreting-genomics-datasets-20260406/,2026-08-24
wellcome-connecting-science-futurelearn-interpreting-genomic-variation-overcomin,Interpreting Genomic Variation: Overcoming Challenges in Diverse Populations,Wellcome Connecting Science / FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/interpreting-genomic-variation-overcoming-challenges-in-diverse-populations,2026-08-24
wellcome-connecting-science-futurelearn-the-power-of-patient-advocacy-in-genomics-influencing-research-clinical-practi,"The Power of Patient Advocacy in Genomics: Influencing Research, Clinical Practice and Decision Making",Wellcome Connecting Science / FutureLearn,course,date-status-unknown,https://coursesandconferences.wellcomeconnectingscience.org/our-events/online-courses/,2026-08-24
wellcome-connecting-science-futurelearn-train-the-trainer-design-genomics-and-bioinformatics-training,Train the Trainer: Design Genomics and Bioinformatics Training,Wellcome Connecting Science / FutureLearn,course,date-status-unknown,https://coursesandconferences.wellcomeconnectingscience.org/our-events/online-courses/,2026-08-24
wellcome-connecting-science-wellcome-connecting-science-courses-and-conferences,Wellcome Connecting Science courses and conferences,Wellcome Connecting Science,other,date-status-unknown,https://coursesandconferences.wellcomeconnectingscience.org/,2026-08-24
