id,title_bg,title_original,source_language,provider,resource_type,event_start,event_end,event_timezone,application_open,application_close,registration_open,registration_close,availability_open,availability_close,primary_status_bg,primary_status_code,official_url,verified_on,translation_status_bg,source_collection_url,delivery,topics,next_action_at
erdera-learning-portal-securing-patient-access,,Securing Patient Access,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-single-arm-rct-or-something-in-between-how-to-enrich-clin,,"Single arm, RCT or something in between – how to enrich clinical trial design and analysis in rare diseases",en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/single-arm-rct-or-something-in-between-how-to-enrich-clinical-trial-design-and-analysis-in-rare-diseases/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-statistical-and-operational-challenges-with-master-protoc,,Statistical and Operational Challenges with Master Protocols,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-statistical-methodology-for-very-small-and-very-large-stu,,Statistical Methodology for Very Small (and Very Large) Studies,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-study-designs-in-epidemiology,,Study Designs in Epidemiology,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-target-product-profile,,Target Product Profile,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-the-assay-guidance-manual,,The Assay Guidance Manual,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-the-statistical-evaluation-of-surrogate-endpoints-in-clin,,The Statistical Evaluation of Surrogate Endpoints in Clinical Trials,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-translational-medicine-explained-tmex,,Translational Medicine Explored (TMex) 2026,en,EATRIS,course,2026-11-30,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://eatris.eu/training/education-training-news/,2026-08-24,missing,https://eatris.eu/training/education-training-news/,in-person,,2026-11-29T22:00:00.000Z
erdera-learning-portal-webinar-for-smes-and-academia-on-the-clinical-trials-regu,,Webinar for SMEs and academia on the Clinical Trials Regulation and CTIS,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/webinar-for-small-and-medium-sized-enterprises-smes-and-academia-on-the-clinical-trials-regulation-and-the-clinical-trials-information-system-ctis/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-working-with-patients,,Working with Patients,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-partner-universities-european-university-diploma-in-rare-disease-research,,European University Diploma in Rare Disease Research — ERDERA pilot,en,ERDERA partner universities,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://erdera.org/training-and-education/,2026-08-24,missing,https://erdera.org/training-and-education/,unknown,,
erdera-rare-diseases-virtual-platform-training-for-resources-joining-the-rare-di,,Training for resources joining the Rare Diseases Virtual Platform,en,ERDERA / Rare Diseases Virtual Platform,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/event/training-for-resources-joining-the-rare-diseases-virtual-platform/,2026-08-24,missing,https://erdera.org/event/training-for-resources-joining-the-rare-diseases-virtual-platform/,online,,
ern-cranio-international-cleft-palate-foundation-icpf-2026-pre-congress-hands-on-training-for-surgeons-and-anesthesiologists,,ICPF 2026 Pre-Congress Hands-On Training for Surgeons and Anesthesiologists,en,ERN CRANIO / International Cleft Palate Foundation,workshop,2026-09-29,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.ern-cranio.eu/news,2026-08-24,missing,https://www.ern-cranio.eu/news,in-person,,2026-09-28T21:00:00.000Z
ern-euro-nmd-euro-nmd-academy-mitochondrial-disorders-course,,EURO-NMD Academy — Mitochondrial Disorders Course,en,ERN EURO-NMD,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://ern-euro-nmd.eu/euro-nmd-academy-moodle/,2026-08-24,missing,https://ern-euro-nmd.eu/euro-nmd-academy-moodle/,self-paced; online,,
ern-eurobloodnet-ern-eurobloodnet-thursdays-webinars,,ERN-EuroBloodNet Thursdays Webinars,en,ERN-EuroBloodNet,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://eurobloodnet.eu/education/thursdays-webinars/,2026-08-24,missing,https://eurobloodnet.eu/education/thursdays-webinars/,self-paced; online,,
ern-ithaca-italian-clinical-genetics-working-group-eurodysmorpho-2026,,EuroDysmorpho 2026,en,ERN ITHACA / Italian Clinical Genetics Working Group,workshop,2026-09-16,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://ern-ithaca.eu/events-news/eurodysmorpho/,2026-08-24,missing,https://ern-ithaca.eu/events-news/eurodysmorpho/,in-person,,2026-09-15T21:00:00.000Z
ern-rnd-eancampus-ataxia-and-hereditary-spastic-paraplegia-module,,Postgraduate Curriculum in Rare Neurological Diseases — Ataxia/HSP module,en,ERN-RND / eanCampus,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://www.ern-rnd.eu/postgraduate-curriculum-in-rare-neurological-diseases/,2026-08-24,missing,https://www.ern-rnd.eu/education-training/,online,,
ern-rnd-euro-nmd-ern-rnd-scientific-symposium-registries-for-rare-neurological-diseases,,ERN-RND Scientific Symposium: Registries for Rare Neurological Diseases,en,ERN-RND / EURO-NMD,webinar,2026-10-10,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.ern-rnd.eu/events/,2026-08-24,missing,https://www.ern-rnd.eu/events/,online,,2026-10-09T21:00:00.000Z
eshg-course-programme-portuguese-organizers-9th-course-basics-in-human-genetic-d,,9th Course: Basics in Human Genetic Diagnostics,en,ESHG course programme / Portuguese organizers,course,2026-09-07,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.ebmg.eu/669.0.html,2026-08-24,missing,https://www.ebmg.eu/669.0.html,in-person,,2026-09-06T21:00:00.000Z
eshg-other-courses-listing-external-organizers-genetic-half-hour,,Genetic Half-Hour,en,ESHG “Other Courses” listing / external organizers,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.gfhev.de/termine/k230-26-genetic-half-hour-comprehensive-course-in-clinical-genetics,2026-08-24,missing,https://www.gfhev.de/termine/k230-26-genetic-half-hour-comprehensive-course-in-clinical-genetics,unknown,,
eupati-eupati-patient-expert-training-programme-2026-2027-cohort,,EUPATI Patient Expert Training Programme — 2026–2027 cohort,en,EUPATI,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://learning.eupati.eu/admin/tool/custompage/view.php?id=3,2026-08-24,missing,https://learning.eupati.eu/admin/tool/custompage/view.php?id=3,online; in-person; hybrid,,
european-board-of-medical-genetics-ebmg-ebmg-registration-for-genetic-counsellor,,EBMG registration for Genetic Counsellors and Genetic Nurses,en,European Board of Medical Genetics (EBMG),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.ebmg.eu/880.0.html,2026-08-24,missing,https://www.ebmg.eu/880.0.html,unknown,,
european-board-of-medical-genetics-ebmg-european-registered-clinical-laboratory-,,European registered Clinical Laboratory Geneticist (ErCLG),en,European Board of Medical Genetics (EBMG),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.ebmg.eu/669.0.html,2026-08-24,missing,https://www.ebmg.eu/669.0.html,unknown,,
european-board-of-rare-and-undiagnosed-diseases-uems-mjc-rud-european-certificat,,European Certificate in Essentials in Rare and Undiagnosed Diseases (EC RUD),en,European Board of Rare and Undiagnosed Diseases / UEMS MJC-RUD,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://mjcrud-uems.pte.hu/content/european-board-rare-and-undiagnosed-diseases,2026-08-24,missing,https://mjcrud-uems.pte.hu/content/european-board-rare-and-undiagnosed-diseases,unknown,,
european-clinical-research-infrastructure-network-ecrin-rare-diseases-clinical-trials-toolbox,,Rare Diseases Clinical Trials Toolbox,en,European Clinical Research Infrastructure Network (ECRIN),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://ecrin.org/rare-diseases-clinical-trials-toolbox,2026-08-24,missing,https://ecrin.org/rare-diseases-clinical-trials-toolbox,online,,
european-commission-24-european-reference-networks-european-reference-networks-e,,European Reference Networks — education entry points,en,European Commission / 24 European Reference Networks,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://health.ec.europa.eu/rare-diseases-and-european-reference-networks/european-reference-networks_en,2026-08-24,missing,https://health.ec.europa.eu/rare-diseases-and-european-reference-networks/european-reference-networks_en,online; in-person,,
european-commission-dg-sante-european-health-data-space-webinar-series,,European Health Data Space Webinar Series,en,European Commission — DG SANTE,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://health.ec.europa.eu/ehealth-digital-health-and-care/european-health-data-space-regulation-ehds/european-health-data-space-ehds-webinar-series_en,2026-08-24,missing,https://health.ec.europa.eu/ehealth-digital-health-and-care/european-health-data-space-regulation-ehds/european-health-data-space-ehds-webinar-series_en,online,,
european-cytogeneticists-association-eca-european-cytogeneticists-association-co,,"European Cytogeneticists Association courses, including Goldrain and Nîmes",en,European Cytogeneticists Association (ECA),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.ebmg.eu/669.0.html,2026-08-24,missing,https://www.ebmg.eu/669.0.html,unknown,,
european-cytogeneticists-association-goldrain-course-listed-by-eshg-19th-goldrai,,19th Goldrain Course in Clinical Cytogenetics,en,European Cytogeneticists Association / Goldrain Course (listed by ESHG),course,2026-08-25,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.biologia.uniba.it/SEC/index.html,2026-08-24,missing,https://www.biologia.uniba.it/SEC/index.html,in-person,,
european-reference-network-for-rare-neurological-diseases-ern-rnd-ern-rnd-online,,ERN-RND Online Medical Education for Rare Neurological Diseases,en,European Reference Network for Rare Neurological Diseases (ERN-RND),webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.ern-rnd.eu/education-training/online-medical-education-for-rare-neurological-diseases/,2026-08-24,missing,https://www.ern-rnd.eu/education-training/online-medical-education-for-rare-neurological-diseases/,online,,
european-society-of-human-genetics-eshg-6th-hereditary-cancer-genetics-course,,6th Hereditary Cancer Genetics Course,en,European Society of Human Genetics (ESHG),course,2026-09-22,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.eshg.org/courses/hereditary-cancer-genetics-course,2026-08-24,missing,https://www.eshg.org/courses/hereditary-cancer-genetics-course,in-person,,2026-09-21T21:00:00.000Z
european-society-of-human-genetics-eshg-basic-and-advanced-genetic-counselling-r,,Basic and Advanced Genetic Counselling — recurring ESHG course series,en,European Society of Human Genetics (ESHG),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/courses,2026-08-24,missing,https://www.eshg.org/courses,unknown,,
european-society-of-human-genetics-eshg-cardiac-genetics-training-course-recurri,,Cardiac Genetics Training Course — recurring ESHG course series,en,European Society of Human Genetics (ESHG),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/courses,2026-08-24,missing,https://www.eshg.org/courses,unknown,,
european-society-of-human-genetics-eshg-clinical-genomics-and-ngs-virtual-on-dem,,Clinical Genomics and NGS — virtual/on-demand 2026 edition,en,European Society of Human Genetics (ESHG),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/bertinoro0-1,2026-08-24,missing,https://www.eshg.org/bertinoro0-1,self-paced; online,,
european-society-of-human-genetics-eshg-clinical-ngs-data-interpretation-eshg-pr,,Clinical NGS Data Interpretation — ESHG pre-conference course 2026,en,European Society of Human Genetics (ESHG),workshop,2026-06-11,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.eshg.org/courses-archive,2026-08-24,missing,https://www.eshg.org/courses-archive,unknown,,
european-society-of-human-genetics-eshg-covering-the-gaps-2026,,Covering the Gaps 2026,en,European Society of Human Genetics (ESHG),course,2026-11-26,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.eshg.org/covering-the-gaps,2026-08-24,missing,https://www.eshg.org/covering-the-gaps,online,,2026-11-25T22:00:00.000Z
european-society-of-human-genetics-eshg-eshg-course-programme-current-and-forthc,,ESHG course programme — current and forthcoming editions,en,European Society of Human Genetics (ESHG),other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/courses,2026-08-24,missing,https://www.eshg.org/courses,online; in-person; hybrid,,
european-society-of-human-genetics-eshg-eshg-mentorship-programme,,ESHG Mentorship Programme,en,European Society of Human Genetics (ESHG),other,2026-09-01,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.eshg.org/education/eshg-mentorship-programme,2026-08-24,missing,https://www.eshg.org/education/eshg-mentorship-programme,unknown,,2026-08-31T21:00:00.000Z
european-society-of-human-genetics-eshg-eshg-monthly-webinars-and-recordings,,ESHG monthly webinars and recordings,en,European Society of Human Genetics (ESHG),webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/education/webinar-conference-library,2026-08-24,missing,https://www.eshg.org/education/webinar-conference-library,online,,
european-society-of-human-genetics-eshg-eshg-observership-programme,,ESHG Observership Programme,en,European Society of Human Genetics (ESHG),other,2026-09-01,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.eshg.org/education/eshg-observership-programme,2026-08-24,missing,https://www.eshg.org/education/eshg-observership-programme,unknown,,2026-08-31T21:00:00.000Z
european-society-of-human-genetics-eshg-introduction-to-statistical-analysis-of-,,Introduction to Statistical Analysis of GWAS — recurring ESHG course series,en,European Society of Human Genetics (ESHG),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.eshg.org/courses,2026-08-24,missing,https://www.eshg.org/courses,unknown,,
european-society-of-human-genetics-eshg-presentation-skills-workshop-eshg-2026,,Presentation Skills Workshop — ESHG 2026,en,European Society of Human Genetics (ESHG),workshop,2026-05-19,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.eshg.org/courses-archive,2026-08-24,missing,https://www.eshg.org/courses-archive,unknown,,
european-society-of-human-genetics-eshg-teach-the-teacher-genetics,,Teach the Teacher Genetics,en,European Society of Human Genetics (ESHG),workshop,2026-06-12,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.eshg.org/courses-archive,2026-08-24,missing,https://www.eshg.org/courses-archive,unknown,,
european-society-of-human-genetics-eshg-unleashing-the-power-of-large-scale-geno,,Unleashing the Power of Large-Scale Genomic Public Databases,en,European Society of Human Genetics (ESHG),workshop,2026-06-12,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.eshg.org/courses-archive,2026-08-24,missing,https://www.eshg.org/courses-archive,unknown,,
eurordis-open-academy-creating-great-mobile-video,,Creating Great Mobile Video,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/creating-great-mobile-video/,2026-08-24,missing,https://openacademy.eurordis.org/courses/creating-great-mobile-video/,online,,
eurordis-open-academy-erdera-open-academy-erdera-training-on-data-ethics-and-ai,,"Open Academy × ERDERA Training on Data, Ethics and AI",en,EURORDIS Open Academy / ERDERA,programme,2026-09-14,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://openacademy.eurordis.org/navigating-rare-disease-research-data-ethics/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,hybrid,,2026-09-13T21:00:00.000Z
eurordis-open-academy-establishing-an-international-cooperation,,Establishing an International Cooperation,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/establishing-an-international-cooperation/,2026-08-24,missing,https://openacademy.eurordis.org/courses/establishing-an-international-cooperation/,online,,
eurordis-open-academy-genetic-research-to-clinical-diagnosis-of-rare-diseases,,Genetic Research to Clinical Diagnosis of Rare Diseases,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/genetic-research-to-clinical-diagnosis-of-rare-diseases/,2026-08-24,missing,https://openacademy.eurordis.org/courses/genetic-research-to-clinical-diagnosis-of-rare-diseases/,online,,
eurordis-open-academy-international-advocacy-for-rare-diseases,,International Advocacy for Rare Diseases,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/international-advocacy-for-rare-diseases/,2026-08-24,missing,https://openacademy.eurordis.org/courses/international-advocacy-for-rare-diseases/,online,,
eurordis-open-academy-introduction-to-genetics-and-genomics,,Introduction to Genetics and Genomics,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/introduction-to-genetics-and-genomics/,2026-08-24,missing,https://openacademy.eurordis.org/courses/introduction-to-genetics-and-genomics/,online,,
eurordis-open-academy-introduction-to-the-european-and-international-research-la,,Introduction to the European and International Research Landscape,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/introduction-to-the-european-and-international-research-landscape/,2026-08-24,missing,https://openacademy.eurordis.org/courses/introduction-to-the-european-and-international-research-landscape/,online,,
eurordis-open-academy-market-access-and-health-technology-assessment-hta,,Market Access and Health Technology Assessment (HTA),en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/market-access-and-hta/,2026-08-24,missing,https://openacademy.eurordis.org/courses/market-access-and-hta/,online,,
eurordis-open-academy-pre-training-scientific-innovation-and-translational-resea,,Pre-training: Scientific Innovation and Translational Research,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/pre-training-scientific-innovation-and-translational-research/,2026-08-24,missing,https://openacademy.eurordis.org/courses/pre-training-scientific-innovation-and-translational-research/,online,,
eurordis-open-academy-rare-disease-registries-eurordis-mentoring-resources,,Rare Disease Registries — EURORDIS mentoring resources,en,EURORDIS Open Academy,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/mentoring-programme-resources-group-5-rare-disease-registries/,2026-08-24,missing,https://openacademy.eurordis.org/courses/mentoring-programme-resources-group-5-rare-disease-registries/,online,,
eurordis-open-academy-setting-the-landscape,,Setting the Landscape,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/setting-the-landscape/,2026-08-24,missing,https://openacademy.eurordis.org/courses/setting-the-landscape/,online,,
eurordis-open-academy-sharing-patient-data,,Sharing Patient Data,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/sharing-patient-data/,2026-08-24,missing,https://openacademy.eurordis.org/courses/sharing-patient-data/,online,,
eurordis-open-academy-survey-design-for-rare-disease-patient-organisations,,Survey Design for Rare Disease Patient Organisations,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/survey-design-rare-disease-patient-organisations/,2026-08-24,missing,https://openacademy.eurordis.org/courses/survey-design-rare-disease-patient-organisations/,online,,
eurordis-open-academy-trials-home-decentralised-clinical-trials,,Trials@Home: Decentralised Clinical Trials,en,EURORDIS Open Academy,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/courses/the-trialshome-course-on-decentralised-clinical-trials/,2026-08-24,missing,https://openacademy.eurordis.org/courses/the-trialshome-course-on-decentralised-clinical-trials/,online,,
eurordis-rare-diseases-europe-eurordis-open-academy-all-online-courses,,EURORDIS Open Academy — all online courses,en,EURORDIS Rare Diseases Europe,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://openacademy.eurordis.org/all-courses/,2026-08-24,missing,https://openacademy.eurordis.org/all-courses/,online,,
eurordis-rare-diseases-europe-eurordis-open-academy-schools,,EURORDIS Open Academy Schools,en,EURORDIS Rare Diseases Europe,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://openacademy.eurordis.org/open-academy-schools/,2026-08-24,missing,https://openacademy.eurordis.org/open-academy-schools/,online; in-person; hybrid,,
foundation-for-rare-diseases-futurelearn-from-dna-to-cure-gene-and-gene-modified,,From DNA to Cure: Gene and Gene-Modified Cell Therapies for Rare Diseases,en,Foundation for Rare Diseases / FutureLearn,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.futurelearn.com/courses/from-dna-to-cure-gene-and-gene-modified-cell-therapies-for-rare-diseases,2026-08-24,missing,https://www.futurelearn.com/courses/from-dna-to-cure-gene-and-gene-modified-cell-therapies-for-rare-diseases,online,,
gen-equip-primary-care-genetics-education-gen-equip-genetics-education-tutorials,,Gen-Equip genetics education tutorials,en,Gen-Equip / primary-care genetics education,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.primarycaregenetics.org/?page_id=109&lang=en,2026-08-24,missing,https://www.ebmg.eu/669.0.html,unknown,,
georgian-society-of-medical-genetics-and-epigenetics-eshg-course-programme-trans,,Translational Epigenetics in Precision Medicine,en,Georgian Society of Medical Genetics and Epigenetics / ESHG course programme,course,2026-10-31,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://geneticsgeorgia.org/language/en/epigenetics-course/,2026-08-24,missing,https://geneticsgeorgia.org/language/en/epigenetics-course/,in-person,,2026-10-30T22:00:00.000Z
institut-pasteur-fun-mooc-listed-by-bbmri-eric-biobanking-mooc,,Biobanking MOOC,en,Institut Pasteur / FUN-MOOC (listed by BBMRI-ERIC),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.bbmri-eric.eu/services/e-learning/,2026-08-24,missing,https://www.bbmri-eric.eu/services/e-learning/,unknown,,
international-society-for-biological-and-environmental-repositories-isber-isber-biobanking-101-201-workshops,,ISBER Biobanking 101/201 Workshops,en,International Society for Biological and Environmental Repositories (ISBER),workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.isber.org/page/Biobanking101201,2026-08-24,missing,https://www.isber.org/page/Biobanking101201,self-paced; online,,
isber-ascp-board-of-certification-qualification-in-biorepository-science-qbrs,,Qualification in Biorepository Science (QBRS),en,ISBER / ASCP Board of Certification,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.isber.org/page/qualification,2026-08-24,missing,https://www.isber.org/page/qualification,online,,
isber-canadian-tissue-repository-network-essentials-of-biobanking-course,,Essentials of Biobanking Course,en,ISBER / Canadian Tissue Repository Network,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.isber.org/page/EssentialsBiobanking,2026-08-24,missing,https://www.isber.org/page/EssentialsBiobanking,self-paced; online,,
leena-peltonen-school-of-human-genetics-listed-by-eshg-leena-peltonen-school-of-,,Leena Peltonen School of Human Genetics,en,Leena Peltonen School of Human Genetics (listed by ESHG),programme,2026-07-26,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://lpshg.com/,2026-08-24,missing,https://lpshg.com/,in-person,,
manchester-centre-for-genomic-medicine-eshg-3rd-eshg-training-course-on-pharmaco,,3rd ESHG Training Course on Pharmacogenomics,en,Manchester Centre for Genomic Medicine / ESHG,course,2026-11-11,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.mrcc.org.uk/events/eshg-pharmacogenetics-course-2026-in-person-manchester-uk/,2026-08-24,missing,https://www.mrcc.org.uk/events/eshg-pharmacogenetics-course-2026-in-person-manchester-uk/,in-person,,2026-11-10T22:00:00.000Z
manchester-centre-for-genomic-medicine-eshg-eshg-syndromology-and-dysmorphology-,,ESHG Syndromology and Dysmorphology Course,en,Manchester Centre for Genomic Medicine / ESHG,course,2026-10-14,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://www.mrcc.org.uk/events/manchester-eshg-syndromology-and-dysmorphology-course-2026/,2026-08-24,missing,https://www.mrcc.org.uk/events/manchester-eshg-syndromology-and-dysmorphology-course-2026/,in-person,,2026-10-13T21:00:00.000Z
medics-for-rare-disease-m4rd-clinical-trials-and-early-access-programmes,,Clinical Trials and Early Access Programmes,en,Medics for Rare Disease (M4RD),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.m4rd.org/,2026-08-24,missing,https://learn.m4rd.org/,self-paced; online,,
medics-for-rare-disease-m4rd-rare-disease-101-nursing,,Rare Disease 101 — Nursing,en,Medics for Rare Disease (M4RD),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.m4rd.org/,2026-08-24,missing,https://learn.m4rd.org/,self-paced; online,,
medics-for-rare-disease-m4rd-rare-disease-101,,Rare Disease 101,en,Medics for Rare Disease (M4RD),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.m4rd.org/,2026-08-24,missing,https://learn.m4rd.org/,self-paced; online,,
medics-for-rare-disease-rareminds-mental-health-and-rare-disease,,Mental Health and Rare Disease,en,Medics for Rare Disease / Rareminds,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.m4rd.org/,2026-08-24,missing,https://learn.m4rd.org/,self-paced; online,,
medics-for-rare-disease-rarest-rare-disease-101-australia,,Rare Disease 101 — Australia,en,Medics for Rare Disease / RArEST,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.m4rd.org/mod/page/view.php?id=440,2026-08-24,missing,https://learn.m4rd.org/mod/page/view.php?id=440,self-paced; online,,
national-organization-for-rare-disorders-nord-an-introduction-to-rare-diseases,,An Introduction to Rare Diseases,en,National Organization for Rare Disorders (NORD),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://learn.rarediseases.org/courses/intro-rare-diseases/,2026-08-24,missing,https://learn.rarediseases.org/courses/intro-rare-diseases/,self-paced; online,,
national-organization-for-rare-disorders-nord-rarelaunch,,RareLaunch®,en,National Organization for Rare Disorders (NORD),course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://rarediseases.org/working-together/rarelaunch/,2026-08-24,missing,https://rarediseases.org/working-together/rarelaunch/,self-paced; online,,
nhs-england-genomics-education-programme-nhs-rare-disease-education-hub,,NHS Rare Disease Education Hub,en,NHS England Genomics Education Programme,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.genomicseducation.hee.nhs.uk/rare-disease-education-hub/,2026-08-24,missing,https://www.genomicseducation.hee.nhs.uk/rare-disease-education-hub/,online,,
